geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000236333,ENSG00000236333.3,-0.440284834,0.015438295,1.010758471,3.29E-07,8.45E-05,0.000311357,TRHDE-AS1
ENSG00000240225,ENSG00000240225.10,3.369382935,-0.0070743,0.995108472,2.78E-07,7.46E-05,0.000311357,ZNF542P
ENSG00000240498,ENSG00000240498.6,0.415871774,0.00975796,1.006786628,2.26E-07,6.35E-05,0.000311357,CDKN2B-AS1
ENSG00000253250,ENSG00000253250.2,1.042014148,0.010223501,1.007111559,3.20E-07,8.28E-05,0.000311357,C8orf88
ENSG00000261115,ENSG00000261115.5,-0.426019001,0.013450746,1.009366944,1.96E-07,5.66E-05,0.000311357,TMEM178B
ENSG00000274588,ENSG00000274588.1,2.183700879,-0.017286816,0.988089194,4.11E-07,9.89E-05,0.000311357,DGKK
ENSG00000065911,ENSG00000065911.11,4.994136359,0.005216823,1.003622572,5.78E-07,0.000128115,0.000522962,MTHFD2
ENSG00000120306,ENSG00000120306.9,4.642697032,0.010220202,1.007109256,5.79E-07,0.000128219,0.000522962,CYSTM1
ENSG00000134627,ENSG00000134627.11,2.84283918,0.006287822,1.004367898,5.26E-07,0.000119149,0.000522962,PIWIL4
ENSG00000135776,ENSG00000135776.4,5.96792066,0.007016258,1.004875144,4.99E-07,0.000114375,0.000522962,ABCB10
ENSG00000149218,ENSG00000149218.4,5.991771881,0.007366145,1.005118879,4.43E-07,0.000104026,0.000522962,ENDOD1
ENSG00000163827,ENSG00000163827.12,0.092771975,0.014515007,1.010111819,5.63E-07,0.000125484,0.000522962,LRRC2
ENSG00000170949,ENSG00000170949.17,6.120142405,-0.003191798,0.99779006,5.38E-07,0.000121314,0.000522962,ZNF160
ENSG00000171606,ENSG00000171606.17,6.09263706,-0.003267603,0.997737633,5.11E-07,0.000116584,0.000522962,ZNF274
ENSG00000183762,ENSG00000183762.12,4.723636111,0.015307553,1.010666877,4.70E-07,0.00010919,0.000522962,KREMEN1
