geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000224020,ENSG00000224020.1,0.790697937,-0.019654331,0.986469034,3.78E-07,4.28E-05,0.000345952,MIR181A2HG
ENSG00000224610,ENSG00000224610.1,-0.387857547,-0.025398809,0.982548952,3.19E-07,3.68E-05,0.000345952,
ENSG00000066382,ENSG00000066382.16,-0.608250588,-0.020424764,0.985942377,4.92E-07,5.38E-05,0.000386988,MPPED2
ENSG00000119686,ENSG00000119686.9,4.027528382,0.01136219,1.007906764,4.84E-07,5.30E-05,0.000386988,FLVCR2
ENSG00000170271,ENSG00000170271.10,6.559586718,-0.026285204,0.981945457,5.11E-07,5.56E-05,0.000386988,FAXDC2
ENSG00000173221,ENSG00000173221.13,6.531262994,0.007792877,1.005416226,4.45E-07,4.93E-05,0.000386988,GLRX
ENSG00000226137,ENSG00000226137.5,4.309009899,-0.013941119,0.990383292,4.92E-07,5.38E-05,0.000386988,BAIAP2-DT
ENSG00000283064,ENSG00000283064.1,1.171794612,0.013714821,1.009551719,4.97E-07,5.42E-05,0.000386988,H2BC6-AS1
ENSG00000009694,ENSG00000009694.13,4.45519138,0.016780298,1.011699122,7.50E-07,7.65E-05,0.000395972,TENM1
ENSG00000103528,ENSG00000103528.16,1.839085159,-0.017088385,0.988225107,8.10E-07,8.14E-05,0.000395972,SYT17
ENSG00000105810,ENSG00000105810.9,6.577898593,0.006869178,1.004772704,5.12E-07,5.56E-05,0.000395972,CDK6
ENSG00000110076,ENSG00000110076.18,-0.486714895,-0.018890995,0.986991117,8.94E-07,8.80E-05,0.000395972,NRXN2
ENSG00000112062,ENSG00000112062.10,8.837407866,0.010239944,1.007123037,6.02E-07,6.39E-05,0.000395972,MAPK14
ENSG00000112182,ENSG00000112182.14,5.777089959,-0.014327653,0.990117979,8.69E-07,8.61E-05,0.000395972,BACH2
ENSG00000117450,ENSG00000117450.13,5.920396233,0.007502492,1.005213876,6.12E-07,6.48E-05,0.000395972,PRDX1
ENSG00000121236,ENSG00000121236.20,-0.413014656,0.022589286,1.015780924,6.66E-07,6.95E-05,0.000395972,TRIM6
ENSG00000123685,ENSG00000123685.8,1.223100669,-0.015051463,0.989621355,8.60E-07,8.53E-05,0.000395972,BATF3
ENSG00000126709,ENSG00000126709.14,5.466093191,0.026211933,1.018334783,7.72E-07,7.84E-05,0.000395972,IFI6
ENSG00000126861,ENSG00000126861.4,1.243835815,0.016176806,1.011276008,8.72E-07,8.62E-05,0.000395972,OMG
ENSG00000128266,ENSG00000128266.8,3.977943748,-0.021109849,0.985474298,8.19E-07,8.21E-05,0.000395972,GNAZ
ENSG00000133106,ENSG00000133106.14,5.782179484,0.022537663,1.015744578,8.48E-07,8.44E-05,0.000395972,EPSTI1
ENSG00000134851,ENSG00000134851.12,6.55995587,0.006736767,1.004680491,8.44E-07,8.41E-05,0.000395972,TMEM165
ENSG00000134897,ENSG00000134897.13,2.044178266,0.010488634,1.007296659,8.27E-07,8.27E-05,0.000395972,BIVM
ENSG00000135046,ENSG00000135046.13,7.679436878,0.013535403,1.009426176,6.37E-07,6.69E-05,0.000395972,ANXA1
ENSG00000137628,ENSG00000137628.16,6.637160678,0.015776408,1.010995382,8.60E-07,8.53E-05,0.000395972,DDX60
ENSG00000157601,ENSG00000157601.13,6.81776346,0.0254354,1.01778681,6.21E-07,6.55E-05,0.000395972,MX1
ENSG00000169826,ENSG00000169826.7,6.414239538,0.0066835,1.004643396,7.71E-07,7.82E-05,0.000395972,CSGALNACT2
ENSG00000175984,ENSG00000175984.14,1.928968265,-0.014158881,0.990233813,6.34E-07,6.67E-05,0.000395972,DENND2C
ENSG00000177301,ENSG00000177301.14,1.895963612,0.013110413,1.009128862,7.07E-07,7.29E-05,0.000395972,KCNA2
ENSG00000177800,ENSG00000177800.2,-1.920730133,-0.007167809,0.995043976,6.30E-07,6.63E-05,0.000395972,TMEM78
ENSG00000179029,ENSG00000179029.14,2.365588954,0.008041255,1.005589336,6.90E-07,7.15E-05,0.000395972,TMEM107
ENSG00000197467,ENSG00000197467.13,0.868026899,-0.026062409,0.98209711,8.94E-07,8.80E-05,0.000395972,COL13A1
ENSG00000198771,ENSG00000198771.10,8.313061816,-0.006983009,0.995171442,5.98E-07,6.35E-05,0.000395972,RCSD1
ENSG00000198796,ENSG00000198796.6,0.269510534,0.027769779,1.019434992,7.01E-07,7.25E-05,0.000395972,ALPK2
ENSG00000204852,ENSG00000204852.15,3.857302642,-0.011372759,0.992147993,5.92E-07,6.29E-05,0.000395972,TCTN1
ENSG00000228203,ENSG00000228203.6,-0.076951754,0.018830961,1.013138185,7.12E-07,7.34E-05,0.000395972,GRASLND
ENSG00000237298,ENSG00000237298.9,7.44928608,0.008523374,1.005925439,6.89E-07,7.14E-05,0.000395972,TTN-AS1
ENSG00000242574,ENSG00000242574.8,6.763243504,-0.008789519,0.993926091,7.46E-07,7.62E-05,0.000395972,HLA-DMB
ENSG00000248334,ENSG00000248334.6,3.422256916,-0.011746523,0.991890988,8.06E-07,8.10E-05,0.000395972,WHAMMP2
ENSG00000250274,ENSG00000250274.1,0.493150014,-0.016212624,0.988825173,6.34E-07,6.67E-05,0.000395972,
ENSG00000260564,ENSG00000260564.1,-1.93498147,0.010802687,1.007515956,6.83E-07,7.09E-05,0.000395972,
ENSG00000271141,ENSG00000271141.1,2.202378669,0.011853973,1.008250397,5.44E-07,5.86E-05,0.000395972,
ENSG00000106789,ENSG00000106789.12,3.922272174,0.009903106,1.006887923,9.18E-07,8.99E-05,0.000497844,CORO2A
ENSG00000120156,ENSG00000120156.20,0.762871831,-0.028122657,0.980695623,9.78E-07,9.46E-05,0.000497844,TEK
ENSG00000134247,ENSG00000134247.9,0.953895285,0.016143354,1.011252559,9.82E-07,9.49E-05,0.000497844,PTGFRN
ENSG00000143891,ENSG00000143891.16,4.153851297,0.0096172,1.006688403,9.00E-07,8.84E-05,0.000497844,GALM
ENSG00000196569,ENSG00000196569.11,1.949007228,-0.015992992,0.98897572,9.90E-07,9.56E-05,0.000497844,LAMA2
ENSG00000238113,ENSG00000238113.6,4.845266142,0.014341663,1.009990458,9.75E-07,9.44E-05,0.000497844,LINC01410
ENSG00000284543,ENSG00000284543.1,-0.199523713,-0.019874733,0.986318342,9.89E-07,9.55E-05,0.000497844,LINC01226
ENSG00000041353,ENSG00000041353.9,5.713916883,-0.013091175,0.990966935,1.02E-06,9.82E-05,0.000561205,RAB27B
ENSG00000049768,ENSG00000049768.14,-0.146566605,0.019393155,1.013533065,1.13E-06,0.000106853,0.000561205,FOXP3
