geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000089737,ENSG00000089737.16,6.917445079,-0.243449354,0.844723239,6.81E-10,2.99E-08,2.68E-07,DDX24
ENSG00000103275,ENSG00000103275.19,6.287449313,-0.230379225,0.852410799,6.15E-10,2.73E-08,2.68E-07,UBE2I
ENSG00000118705,ENSG00000118705.16,6.804433463,-0.246550486,0.842909422,6.45E-10,2.85E-08,2.68E-07,RPN2
ENSG00000124490,ENSG00000124490.13,-1.156023264,0.792965741,1.732632568,6.78E-10,2.97E-08,2.68E-07,CRISP2
ENSG00000137996,ENSG00000137996.12,5.210492467,0.157363559,1.115247225,6.75E-10,2.96E-08,2.68E-07,RTCA
ENSG00000182986,ENSG00000182986.12,3.272423901,-0.354056609,0.782381082,6.74E-10,2.96E-08,2.68E-07,ZNF320
ENSG00000277586,ENSG00000277586.2,1.452120754,0.862927291,1.818724841,6.73E-10,2.95E-08,2.68E-07,NEFL
ENSG00000085662,ENSG00000085662.13,4.740365794,-0.301072087,0.811649024,6.84E-10,3.00E-08,4.69E-07,AKR1B1
ENSG00000028839,ENSG00000028839.9,5.112836835,0.281316189,1.215303115,1.28E-09,5.32E-08,4.99E-07,TBPL1
ENSG00000049089,ENSG00000049089.13,2.695393572,-0.714571757,0.609385992,8.28E-10,3.58E-08,4.99E-07,COL9A2
ENSG00000068024,ENSG00000068024.16,7.03908518,0.381746111,1.302917838,1.28E-09,5.33E-08,4.99E-07,HDAC4
ENSG00000087589,ENSG00000087589.16,6.057296991,-0.440132378,0.737066974,7.46E-10,3.25E-08,4.99E-07,CASS4
ENSG00000093167,ENSG00000093167.17,6.4790973,0.224208041,1.168135831,1.11E-09,4.67E-08,4.99E-07,LRRFIP2
ENSG00000107290,ENSG00000107290.13,9.644563763,-0.209387647,0.864904262,1.21E-09,5.08E-08,4.99E-07,SETX
ENSG00000115904,ENSG00000115904.12,6.70435467,0.228562649,1.17166704,9.56E-10,4.09E-08,4.99E-07,SOS1
ENSG00000122733,ENSG00000122733.12,0.031337369,-0.885383777,0.541343499,1.23E-09,5.14E-08,4.99E-07,PHF24
ENSG00000130764,ENSG00000130764.9,5.05443918,-0.264576733,0.832442926,1.08E-09,4.59E-08,4.99E-07,LRRC47
ENSG00000133063,ENSG00000133063.15,2.619621205,0.580494351,1.495361559,1.20E-09,5.02E-08,4.99E-07,CHIT1
ENSG00000136689,ENSG00000136689.18,4.923353077,0.542108849,1.456099405,1.00E-09,4.26E-08,4.99E-07,IL1RN
ENSG00000138756,ENSG00000138756.17,7.509564724,0.296596195,1.228243151,1.07E-09,4.55E-08,4.99E-07,BMP2K
ENSG00000144724,ENSG00000144724.19,0.078448246,-0.83548542,0.560394453,9.41E-10,4.03E-08,4.99E-07,PTPRG
ENSG00000148154,ENSG00000148154.9,5.714974655,0.327776226,1.255077303,8.50E-10,3.67E-08,4.99E-07,UGCG
